[2025-06-21T18:45:03.122+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between NOP and DEN.
[2025-06-21T18:45:10.075+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between OKC and PHO.
[2025-06-21T18:45:16.759+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between GSW and MEM.
[2025-06-21T18:45:23.386+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between SAC and MIN.
[2025-06-21T18:45:30.267+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between CHO and MIL.
[2025-06-21T18:45:37.235+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between BOS and TOR.
[2025-06-21T18:45:43.910+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between NOP and LAL.
[2025-06-21T18:45:50.531+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between DAL and SAS.
[2025-06-21T18:45:57.293+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between SAC and UTA.
[2025-06-21T18:46:04.414+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between MIN and PHO.
[2025-06-21T18:46:11.371+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between IND and MIA.
[2025-06-21T18:46:18.048+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between CLE and CHO.
[2025-06-21T18:46:24.780+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between WAS and DET.
[2025-06-21T18:46:31.552+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between MEM and DEN.
[2025-06-21T18:46:38.689+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between POR and ATL.
[2025-06-21T18:46:45.495+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between NYK and BRK.
[2025-06-21T18:46:52.146+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between CHI and HOU.
[2025-06-21T18:46:59.017+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between OKC and DAL.
[2025-06-21T18:47:05.809+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between LAC and UTA.
[2025-06-21T18:47:12.801+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between DET and CHI.
[2025-06-21T18:47:19.533+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between MIA and PHI.
[2025-06-21T18:47:26.218+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between NYK and WAS.
[2025-06-21T18:47:33.070+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between TOR and IND.
[2025-06-21T18:47:39.680+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between MIL and HOU.
[2025-06-21T18:47:46.284+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between PHO and ORL.
[2025-06-21T18:47:52.935+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between SAC and ATL.
[2025-06-21T18:47:59.786+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between LAC and GSW.
[2025-06-21T18:48:06.807+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between BOS and CLE.
[2025-06-21T18:48:13.566+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between BRK and CHO.
[2025-06-21T18:48:20.282+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-19 between MEM and DEN.
