NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE,team
9,Dillon Brooks,SF,6-6,225.0,1996-01-22,CA CA,7,Oregon,WAS
1,Amen Thompson,SF,6-7,209.0,2003-01-30,US US,1,,WAS
0,Aaron Holiday,PG,6-0,185.0,1996-09-30,US US,6,UCLA,WAS
5,Fred VanVleet,PG,6-0,197.0,1994-02-25,US US,8,Wichita State,WAS
12,Steven Adams,C,6-11,265.0,1993-07-20,NZ NZ,10,Pitt,WAS
10,Jabari Smith Jr.,PF,6-11,220.0,2003-05-13,US US,2,Auburn,WAS
17,Tari Eason,PF,6-8,216.0,2001-05-10,US US,2,"Cincinnati, LSU",WAS
15,Reed Sheppard,PG,6-2,185.0,2004-06-24,US US,R,Kentucky,WAS
8,Jae'Sean Tate,SF,6-4,230.0,1995-10-28,US US,4,Ohio State,WAS
7,Cam Whitmore,SF,6-7,232.0,2004-07-08,US US,1,Villanova,WAS
2,Jock Landale,C,6-11,256.0,1995-10-25,AU AU,3,Saint Mary's,WAS
32,Jeff Green,PF,6-8,235.0,1986-08-28,US US,16,Georgetown,WAS
19,Jeenathan Williams,SG,6-5,205.0,1999-02-12,US US,2,Buffalo,WAS
58,Jack McVeigh (TW),PF,6-8,215.0,1996-06-27,AU AU,R,Nebraska,WAS
3,N'Faly Dante (TW),C,6-11,230.0,2001-10-19,ML ML,R,Oregon,WAS
21,David Roddy (TW),PF,6-4,255.0,2001-03-27,US US,2,Colorado State,WAS
1,Obi Toppin,PF,6-9,220.0,1998-03-04,US US,4,Dayton,WAS
9,T.J. McConnell,PG,6-1,190.0,1992-03-25,US US,9,"Duquesne, Arizona",WAS
43,Pascal Siakam,PF,6-8,230.0,1994-04-02,CM CM,8,New Mexico State,WAS
5,Jarace Walker,PF,6-8,240.0,2003-09-04,US US,1,Houston,WAS
0,Tyrese Haliburton,PG,6-5,185.0,2000-02-29,US US,4,Iowa State,WAS
0,Bennedict Mathurin,SF,6-6,210.0,2002-06-19,CA CA,2,Arizona,WAS
33,Myles Turner,C,6-11,250.0,1996-03-24,US US,9,Texas,WAS
2,Andrew Nembhard,SG,6-5,193.0,2000-01-16,CA CA,2,"Florida, Gonzaga",WAS
26,Ben Sheppard,SG,6-6,190.0,2001-07-16,US US,1,Belmont,WAS
3,Thomas Bryant,C,6-10,248.0,1997-07-31,US US,7,Indiana,WAS
12,Johnny Furphy,SG,6-8,200.0,2004-12-08,AU AU,R,Kansas,WAS
23,Aaron Nesmith,SF,6-5,215.0,1999-10-16,US US,4,Vanderbilt,WAS
29,Quenton Jackson (TW),PG,6-5,175.0,1998-09-15,US US,2,Texas A&M,WAS
8,Enrique Freeman (TW),PF,6-7,206.0,2000-07-29,US US,R,University of Akron,WAS
13,Tony Bradley,C,6-10,248.0,1998-01-08,US US,6,UNC,WAS
16,James Johnson,PF,6-7,240.0,1987-02-20,US US,15,Wake Forest,WAS
10,RayJ Dennis (TW),PG,6-2,180.0,2001-03-30,US US,R,"Boise State, Toledo, Baylor",WAS
22,Isaiah Jackson,C,6-10,206.0,2002-01-10,US US,3,Kentucky,WAS
40.0,Ivica Zubac,C,7-0,240.0,1997-03-18,BA BA,8,,WAS
1.0,James Harden,PG,6-5,220.0,1989-08-26,US US,15,Arizona State,WAS
33.0,Nicolas Batum,PF,6-8,230.0,1988-12-14,FR FR,16,,WAS
55.0,Derrick Jones Jr.,SF,6-5,210.0,1997-02-15,US US,8,UNLV,WAS
8.0,Kris Dunn,PG,6-3,205.0,1994-03-18,US US,8,Providence,WAS
7.0,Amir Coffey,SG,6-7,210.0,1997-06-17,US US,5,Minnesota,WAS
24.0,Norman Powell,SG,6-3,215.0,1993-05-25,US US,9,UCLA,WAS
21.0,Kobe Brown,PF,6-7,250.0,2000-01-01,US US,1,Missouri,WAS
2.0,Kawhi Leonard,SF,6-7,225.0,1991-06-29,US US,12,San Diego State,WAS
11.0,Jordan Miller,SF,6-7,195.0,2000-01-23,US US,1,"George Mason, Miami (FL)",WAS
10.0,Bogdan Bogdanović,SG,6-5,220.0,1992-08-18,RS RS,7,,WAS
15.0,Drew Eubanks,C,6-9,245.0,1997-02-01,US US,6,Oregon State,WAS
25.0,Ben Simmons,PG,6-10,240.0,1996-07-20,AU AU,6,LSU,WAS
12.0,Cam Christie,SG,6-5,190.0,2005-07-24,US US,R,Minnesota,WAS
88.0,Patty Mills,PG,6-2,180.0,1988-08-11,AU AU,15,Saint Mary's,WAS
9.0,Trentyn Flowers (TW),SF,6-7,185.0,2005-03-08,US US,R,,WAS
23.0,Patrick Baldwin Jr. (TW),SF,6-9,220.0,2002-11-18,US US,2,UW-Milwaukee,WAS
,Seth Lundy (TW),SF,6-6,220.0,2000-04-02,US US,1,Penn State,WAS
4,Dalton Knecht,SF,6-6,215.0,2001-04-19,US US,R,"Northeastern Junior College, University of Northern Colorado, Tennessee",WAS
15,Austin Reaves,SG,6-5,206.0,1998-05-29,US US,3,"Wichita State, Oklahoma",WAS
7,Gabe Vincent,PG,6-3,195.0,1996-06-14,US US,5,UC Santa Barbara,WAS
23,LeBron James,SF,6-9,250.0,1984-12-30,US US,21,,WAS
28,Rui Hachimura,PF,6-8,230.0,1998-02-08,JP JP,5,Gonzaga,WAS
11,Jaxson Hayes,C,7-0,220.0,2000-05-23,US US,5,Texas,WAS
17,Dorian Finney-Smith,PF,6-7,220.0,1993-05-04,US US,8,Florida,WAS
