[2025-06-19T14:57:51.176+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between MIL and TOR.
[2025-06-19T14:57:55.000+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between UTA and PHO.
[2025-06-19T14:58:01.892+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between GSW and DAL.
[2025-06-19T14:58:08.927+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between POR and MIN.
[2025-06-19T14:58:15.931+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between ORL and IND.
[2025-06-19T14:58:21.777+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between BRK and BOS.
[2025-06-19T14:58:28.687+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between NYK and CHI.
[2025-06-19T14:58:35.782+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between PHI and CLE.
[2025-06-19T14:58:42.775+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between OKC and NOP.
[2025-06-19T14:58:49.099+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between HOU and LAC.
[2025-06-19T14:58:55.459+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between MIL and DET.
[2025-06-19T14:59:02.532+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between SAS and WAS.
[2025-06-19T14:59:09.447+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between LAL and MEM.
[2025-06-19T14:59:16.404+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between POR and MIN.
[2025-06-19T14:59:22.102+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between SAC and PHO.
[2025-06-19T14:59:29.382+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-14 between UTA and DAL.
[2025-06-19T14:59:36.732+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between IND and MIA.
[2025-06-19T14:59:43.777+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between ORL and PHI.
[2025-06-19T14:59:49.549+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between TOR and DET.
[2025-06-19T14:59:56.771+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between ATL and WAS.
[2025-06-19T15:00:03.626+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between CLE and CHI.
[2025-06-19T15:00:10.524+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between NYK and BRK.
[2025-06-19T15:00:16.290+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between SAS and LAL.
[2025-06-19T15:00:23.520+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between HOU and LAC.
[2025-06-19T15:00:30.452+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between NOP and DEN.
[2025-06-19T15:00:37.641+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between OKC and PHO.
[2025-06-19T15:00:44.841+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between GSW and MEM.
[2025-06-19T15:00:50.716+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between SAC and MIN.
[2025-06-19T15:00:57.807+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between CHO and MIL.
[2025-06-19T15:01:04.911+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between BOS and TOR.
[2025-06-19T15:01:11.803+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between NOP and LAL.
[2025-06-19T15:01:17.847+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between DAL and SAS.
[2025-06-19T15:01:24.820+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between SAC and UTA.
[2025-06-19T15:01:31.795+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between MIN and PHO.
[2025-06-19T15:01:38.935+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between IND and MIA.
[2025-06-19T15:01:44.633+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between CLE and CHO.
[2025-06-19T15:01:51.850+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between WAS and DET.
[2025-06-19T15:01:58.684+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between MEM and DEN.
[2025-06-19T15:02:05.679+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between POR and ATL.
[2025-06-19T15:02:11.461+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between NYK and BRK.
[2025-06-19T15:02:19.348+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between CHI and HOU.
[2025-06-19T15:02:26.245+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between OKC and DAL.
[2025-06-19T15:02:33.088+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between LAC and UTA.
[2025-06-19T15:02:40.172+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between DET and CHI.
[2025-06-19T15:02:46.172+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between MIA and PHI.
[2025-06-19T15:02:53.086+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between NYK and WAS.
[2025-06-19T15:03:00.122+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between TOR and IND.
[2025-06-19T15:03:07.041+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between MIL and HOU.
[2025-06-19T15:03:12.873+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between PHO and ORL.
[2025-06-19T15:03:19.838+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between SAC and ATL.
[2025-06-19T15:03:26.799+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between LAC and GSW.
[2025-06-19T15:03:34.086+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between BOS and CLE.
[2025-06-19T15:03:39.803+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between BRK and CHO.
[2025-06-19T15:03:46.927+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between MEM and DEN.
[2025-06-19T15:03:54.170+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between DAL and NOP.
[2025-06-19T15:04:01.054+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between SAS and OKC.
[2025-06-19T15:04:06.699+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between LAL and UTA.
[2025-06-19T15:04:13.915+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-20 between CLE and NOP.
[2025-06-19T15:04:20.879+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-20 between MIL and CHI.
[2025-06-19T15:04:27.764+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-20 between HOU and IND.
