[2025-06-19T12:26:05.528+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between ORL and WAS.
[2025-06-19T12:26:12.643+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between PHI and CHO.
[2025-06-19T12:26:19.542+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between MIN and MIA.
[2025-06-19T12:26:25.386+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between OKC and GSW.
[2025-06-19T12:26:32.498+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between DEN and DAL.
[2025-06-19T12:26:39.398+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between PHO and SAC.
[2025-06-19T12:26:46.413+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between POR and MEM.
[2025-06-19T12:26:52.179+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-10 between LAL and TOR.
[2025-06-19T12:26:59.268+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between CHI and CLE.
[2025-06-19T12:27:06.647+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between HOU and WAS.
[2025-06-19T12:27:13.536+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between NOP and BRK.
[2025-06-19T12:27:19.366+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between OKC and LAC.
[2025-06-19T12:27:26.234+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between SAS and SAC.
[2025-06-19T12:27:33.301+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between BOS and ATL.
[2025-06-19T12:27:40.361+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between DET and MIA.
[2025-06-19T12:27:46.134+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between ORL and CHO.
[2025-06-19T12:27:53.007+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between PHI and NYK.
[2025-06-19T12:27:59.939+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between MIL and TOR.
[2025-06-19T12:28:06.907+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between UTA and PHO.
[2025-06-19T12:28:13.777+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between GSW and DAL.
[2025-06-19T12:28:19.495+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between POR and MIN.
[2025-06-19T12:28:26.745+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between ORL and IND.
[2025-06-19T12:28:33.660+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between BRK and BOS.
