[2025-06-21T13:28:01.669+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between PHI and CHO.
[2025-06-21T13:28:08.267+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between MIN and MIA.
[2025-06-21T13:28:14.927+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between OKC and GSW.
[2025-06-21T13:28:21.532+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between DEN and DAL.
[2025-06-21T13:28:28.336+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between PHO and SAC.
[2025-06-21T13:28:35.533+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between POR and MEM.
[2025-06-21T13:28:42.214+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between LAL and TOR.
[2025-06-21T13:28:48.964+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between CHI and CLE.
[2025-06-21T13:28:55.810+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between HOU and WAS.
[2025-06-21T13:29:02.420+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between NOP and BRK.
[2025-06-21T13:29:09.019+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between OKC and LAC.
[2025-06-21T13:29:15.860+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between SAS and SAC.
[2025-06-21T13:29:22.787+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between BOS and ATL.
[2025-06-21T13:29:29.546+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between DET and MIA.
[2025-06-21T13:29:36.490+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between ORL and CHO.
[2025-06-21T13:29:43.080+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between PHI and NYK.
[2025-06-21T13:29:49.889+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between MIL and TOR.
[2025-06-21T13:29:56.512+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between UTA and PHO.
[2025-06-21T13:30:03.131+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between GSW and DAL.
[2025-06-21T13:30:09.705+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between POR and MIN.
[2025-06-21T13:30:16.640+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between ORL and IND.
[2025-06-21T13:30:23.550+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between BRK and BOS.
[2025-06-21T13:30:30.141+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between NYK and CHI.
[2025-06-21T13:30:36.821+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between PHI and CLE.
[2025-06-21T13:30:43.683+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between OKC and NOP.
[2025-06-21T13:30:50.630+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between HOU and LAC.
[2025-06-21T13:30:57.221+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between MIL and DET.
[2025-06-21T13:31:03.929+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between SAS and WAS.
[2025-06-21T13:31:10.548+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between LAL and MEM.
[2025-06-21T13:31:17.365+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between POR and MIN.
[2025-06-21T13:31:24.043+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between SAC and PHO.
[2025-06-21T13:31:30.745+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-14 between UTA and DAL.
[2025-06-21T13:31:37.573+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between IND and MIA.
[2025-06-21T13:31:44.327+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between ORL and PHI.
[2025-06-21T13:31:51.239+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between TOR and DET.
[2025-06-21T13:31:58.065+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between ATL and WAS.
[2025-06-21T13:32:04.704+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between CLE and CHI.
[2025-06-21T13:32:11.624+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between NYK and BRK.
[2025-06-21T13:32:18.299+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between SAS and LAL.
[2025-06-21T13:32:24.987+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between HOU and LAC.
[2025-06-21T13:32:31.845+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between NOP and DEN.
[2025-06-21T13:32:38.630+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between OKC and PHO.
[2025-06-21T13:32:45.325+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between GSW and MEM.
[2025-06-21T13:32:52.005+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between SAC and MIN.
[2025-06-21T13:32:59.020+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between CHO and MIL.
[2025-06-21T13:33:05.742+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between BOS and TOR.
[2025-06-21T13:33:12.307+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between NOP and LAL.
[2025-06-21T13:33:18.975+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between DAL and SAS.
[2025-06-21T13:33:25.680+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between SAC and UTA.
[2025-06-21T13:33:32.697+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between MIN and PHO.
[2025-06-21T13:33:39.342+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between IND and MIA.
[2025-06-21T13:33:46.315+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between CLE and CHO.
[2025-06-21T13:33:53.036+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between WAS and DET.
[2025-06-21T13:33:59.923+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between MEM and DEN.
[2025-06-21T13:34:06.517+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between POR and ATL.
[2025-06-21T13:34:13.227+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between NYK and BRK.
[2025-06-21T13:34:19.892+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between CHI and HOU.
[2025-06-21T13:34:26.556+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between OKC and DAL.
[2025-06-21T13:34:33.464+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-17 between LAC and UTA.
[2025-06-21T13:34:40.371+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-18 between DET and CHI.
