[2025-06-21T10:47:43.787+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between WAS and MIA.
[2025-06-21T10:47:50.541+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between DEN and UTA.
[2025-06-21T10:47:57.468+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between PHO and POR.
[2025-06-21T10:48:04.181+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-02 between LAC and OKC.
[2025-06-21T10:48:10.962+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-03 between BRK and DET.
[2025-06-21T10:48:17.545+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-03 between NOP and ATL.
[2025-06-21T10:48:24.345+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-03 between DAL and ORL.
[2025-06-21T10:48:31.272+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between CLE and MIL.
[2025-06-21T10:48:38.094+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between WAS and GSW.
[2025-06-21T10:48:44.762+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between DET and LAL.
[2025-06-21T10:48:51.602+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between ATL and BOS.
[2025-06-21T10:48:58.295+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between BRK and MEM.
[2025-06-21T10:49:05.001+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between MIA and SAC.
[2025-06-21T10:49:11.807+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between CHI and UTA.
[2025-06-21T10:49:18.689+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between HOU and NYK.
[2025-06-21T10:49:25.319+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between MIN and CHO.
[2025-06-21T10:49:31.968+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between OKC and ORL.
[2025-06-21T10:49:38.732+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between NOP and POR.
[2025-06-21T10:49:45.431+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between DAL and IND.
[2025-06-21T10:49:52.050+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between DEN and TOR.
[2025-06-21T10:49:58.913+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between PHO and PHI.
[2025-06-21T10:50:05.645+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-04 between LAC and SAS.
[2025-06-21T10:50:12.582+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between CHO and DET.
[2025-06-21T10:50:19.241+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between IND and ORL.
[2025-06-21T10:50:25.898+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between ATL and NYK.
[2025-06-21T10:50:32.688+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between BOS and GSW.
[2025-06-21T10:50:39.320+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between HOU and SAS.
[2025-06-21T10:50:46.013+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between MEM and LAL.
[2025-06-21T10:50:52.788+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between NOP and CLE.
[2025-06-21T10:50:59.546+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between DAL and CHI.
[2025-06-21T10:51:06.223+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between DEN and OKC.
[2025-06-21T10:51:12.902+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between PHO and MIA.
[2025-06-21T10:51:19.518+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between LAC and PHI.
[2025-06-21T10:51:26.368+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-06 between SAC and TOR.
[2025-06-21T10:51:33.222+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-07 between CHI and MIN.
[2025-06-21T10:51:39.849+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-07 between MIL and UTA.
[2025-06-21T10:51:46.598+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-07 between SAS and POR.
[2025-06-21T10:51:53.579+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between CHO and IND.
[2025-06-21T10:52:00.355+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between DET and ATL.
[2025-06-21T10:52:06.969+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between ORL and NOP.
[2025-06-21T10:52:13.825+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between BOS and BRK.
[2025-06-21T10:52:20.598+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between CLE and GSW.
[2025-06-21T10:52:27.452+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between NYK and MIL.
[2025-06-21T10:52:34.056+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between DAL and PHO.
[2025-06-21T10:52:40.749+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between MEM and WAS.
[2025-06-21T10:52:47.650+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between OKC and HOU.
[2025-06-21T10:52:54.331+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between MIN and POR.
[2025-06-21T10:53:01.048+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between DEN and MIA.
[2025-06-21T10:53:07.731+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between LAL and PHI.
[2025-06-21T10:53:14.501+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-08 between SAC and LAC.
[2025-06-21T10:53:21.490+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-09 between SAS and UTA.
[2025-06-21T10:53:28.120+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-09 between ATL and CHI.
[2025-06-21T10:53:34.697+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-09 between CLE and BRK.
[2025-06-21T10:53:41.392+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-09 between LAC and TOR.
[2025-06-21T10:53:48.292+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between DET and HOU.
[2025-06-21T10:53:55.081+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between MIL and BOS.
[2025-06-21T10:54:01.734+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between IND and NYK.
[2025-06-21T10:54:08.549+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between ORL and WAS.
[2025-06-21T10:54:15.251+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between PHI and CHO.
[2025-06-21T10:54:21.876+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between MIN and MIA.
[2025-06-21T10:54:28.526+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between OKC and GSW.
[2025-06-21T10:54:35.301+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between DEN and DAL.
[2025-06-21T10:54:42.157+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between PHO and SAC.
[2025-06-21T10:54:48.951+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between POR and MEM.
[2025-06-21T10:54:55.677+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-10 between LAL and TOR.
[2025-06-21T10:55:02.745+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between CHI and CLE.
[2025-06-21T10:55:09.563+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between HOU and WAS.
[2025-06-21T10:55:16.178+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between NOP and BRK.
[2025-06-21T10:55:22.883+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between OKC and LAC.
[2025-06-21T10:55:29.512+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-11 between SAS and SAC.
[2025-06-21T10:55:36.508+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between BOS and ATL.
[2025-06-21T10:55:43.450+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between DET and MIA.
[2025-06-21T10:55:50.137+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between ORL and CHO.
[2025-06-21T10:55:57.419+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between PHI and NYK.
[2025-06-21T10:56:04.409+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between MIL and TOR.
[2025-06-21T10:56:11.063+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between UTA and PHO.
[2025-06-21T10:56:17.768+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between GSW and DAL.
[2025-06-21T10:56:24.389+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-12 between POR and MIN.
[2025-06-21T10:56:31.315+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between ORL and IND.
[2025-06-21T10:56:38.189+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between BRK and BOS.
[2025-06-21T10:56:44.870+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between NYK and CHI.
[2025-06-21T10:56:51.544+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between PHI and CLE.
[2025-06-21T10:56:59.181+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between OKC and NOP.
[2025-06-21T10:57:06.292+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between HOU and LAC.
[2025-06-21T10:57:13.128+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between MIL and DET.
[2025-06-21T10:57:19.790+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between SAS and WAS.
[2025-06-21T10:57:26.486+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between LAL and MEM.
[2025-06-21T10:57:33.332+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between POR and MIN.
[2025-06-21T10:57:39.981+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-13 between SAC and PHO.
[2025-06-21T10:57:46.940+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-14 between UTA and DAL.
[2025-06-21T10:57:53.890+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between IND and MIA.
[2025-06-21T10:58:00.655+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between ORL and PHI.
[2025-06-21T10:58:07.449+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between TOR and DET.
[2025-06-21T10:58:14.304+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between ATL and WAS.
[2025-06-21T10:58:20.943+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between CLE and CHI.
[2025-06-21T10:58:27.838+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between NYK and BRK.
[2025-06-21T10:58:34.546+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between SAS and LAL.
[2025-06-21T10:58:41.199+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between HOU and LAC.
[2025-06-21T10:58:48.026+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between NOP and DEN.
[2025-06-21T10:58:54.846+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between OKC and PHO.
[2025-06-21T10:59:01.532+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between GSW and MEM.
[2025-06-21T10:59:08.224+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-15 between SAC and MIN.
[2025-06-21T10:59:15.114+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between CHO and MIL.
[2025-06-21T10:59:22.024+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between BOS and TOR.
[2025-06-21T10:59:28.620+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between NOP and LAL.
[2025-06-21T10:59:36.077+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between DAL and SAS.
[2025-06-21T10:59:42.997+0000] {etl_pipeline.py:191} INFO - Processed game on 2024-11-16 between SAC and UTA.
