[2025-06-21T22:57:08.655+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between BOS and BRK.
[2025-06-21T22:57:15.416+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between CLE and GSW.
[2025-06-21T22:57:23.273+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between NYK and MIL.
[2025-06-21T22:57:29.818+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between DAL and PHO.
[2025-06-21T22:57:36.421+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between MEM and WAS.
[2025-06-21T22:57:43.201+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between OKC and HOU.
[2025-06-21T22:57:49.774+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between MIN and POR.
[2025-06-21T22:57:57.553+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between DEN and MIA.
[2025-06-21T22:58:04.135+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between LAL and PHI.
[2025-06-21T22:58:10.990+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-08 between SAC and LAC.
[2025-06-21T22:58:17.702+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-09 between SAS and UTA.
[2025-06-21T22:58:25.471+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-09 between ATL and CHI.
[2025-06-21T22:58:32.002+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-09 between CLE and BRK.
[2025-06-21T22:58:38.844+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-09 between LAC and TOR.
[2025-06-21T22:58:45.820+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-10 between DET and HOU.
[2025-06-21T22:58:52.440+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-10 between MIL and BOS.
[2025-06-21T22:59:00.469+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-10 between IND and NYK.
[2025-06-21T22:59:07.301+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-10 between ORL and WAS.
[2025-06-21T22:59:14.035+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-10 between PHI and CHO.
[2025-06-21T22:59:20.598+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-10 between MIN and MIA.
[2025-06-21T22:59:28.456+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-10 between OKC and GSW.
[2025-06-21T22:59:35.159+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-10 between DEN and DAL.
[2025-06-21T22:59:41.997+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-10 between PHO and SAC.
[2025-06-21T22:59:48.575+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-10 between POR and MEM.
[2025-06-21T22:59:55.146+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-10 between LAL and TOR.
[2025-06-21T23:00:03.169+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-11 between CHI and CLE.
[2025-06-21T23:00:09.970+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-11 between HOU and WAS.
[2025-06-21T23:00:16.771+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-11 between NOP and BRK.
[2025-06-21T23:00:23.346+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-11 between OKC and LAC.
[2025-06-21T23:00:31.215+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-11 between SAS and SAC.
[2025-06-21T23:00:38.427+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-12 between BOS and ATL.
[2025-06-21T23:00:45.002+0000] {etl_pipeline.py:201} INFO - Processed game on 2024-11-12 between DET and MIA.
