[2025-06-16T10:08:12.763+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between HOU and WAS.
[2025-06-16T10:08:18.825+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between NOP and BRK.
[2025-06-16T10:08:25.525+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between OKC and LAC.
[2025-06-16T10:08:32.216+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-11 between SAS and SAC.
[2025-06-16T10:08:39.114+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between BOS and ATL.
[2025-06-16T10:08:44.994+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between DET and MIA.
[2025-06-16T10:08:51.905+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between ORL and CHO.
[2025-06-16T10:08:58.553+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between PHI and NYK.
[2025-06-16T10:09:05.201+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between MIL and TOR.
[2025-06-16T10:09:11.002+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between UTA and PHO.
[2025-06-16T10:09:17.789+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between GSW and DAL.
[2025-06-16T10:09:24.458+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-12 between POR and MIN.
[2025-06-16T10:09:31.500+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between ORL and IND.
[2025-06-16T10:09:38.222+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between BRK and BOS.
[2025-06-16T10:09:44.302+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between NYK and CHI.
[2025-06-16T10:09:51.078+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between PHI and CLE.
[2025-06-16T10:09:57.790+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between OKC and NOP.
[2025-06-16T10:10:04.556+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between HOU and LAC.
[2025-06-16T10:10:10.726+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between MIL and DET.
[2025-06-16T10:10:17.396+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between SAS and WAS.
[2025-06-16T10:10:24.071+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between LAL and MEM.
[2025-06-16T10:10:30.864+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between POR and MIN.
[2025-06-16T10:10:37.771+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-13 between SAC and PHO.
[2025-06-16T10:10:43.739+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-14 between UTA and DAL.
[2025-06-16T10:10:50.666+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between IND and MIA.
[2025-06-16T10:10:57.711+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between ORL and PHI.
[2025-06-16T10:11:04.680+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between TOR and DET.
[2025-06-16T10:11:10.611+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between ATL and WAS.
[2025-06-16T10:11:17.284+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between CLE and CHI.
[2025-06-16T10:11:24.043+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between NYK and BRK.
[2025-06-16T10:11:30.988+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between SAS and LAL.
[2025-06-16T10:11:36.961+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between HOU and LAC.
[2025-06-16T10:11:43.820+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between NOP and DEN.
[2025-06-16T10:11:50.604+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between OKC and PHO.
[2025-06-16T10:11:57.483+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between GSW and MEM.
[2025-06-16T10:12:04.331+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-15 between SAC and MIN.
[2025-06-16T10:12:10.398+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between CHO and MIL.
[2025-06-16T10:12:17.082+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between BOS and TOR.
[2025-06-16T10:12:24.011+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between NOP and LAL.
[2025-06-16T10:12:31.045+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between DAL and SAS.
[2025-06-16T10:12:36.906+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-16 between SAC and UTA.
[2025-06-16T10:12:44.497+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between MIN and PHO.
[2025-06-16T10:12:51.355+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between IND and MIA.
[2025-06-16T10:12:58.314+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between CLE and CHO.
[2025-06-16T10:13:04.283+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between WAS and DET.
[2025-06-16T10:13:11.127+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between MEM and DEN.
[2025-06-16T10:13:17.996+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between POR and ATL.
[2025-06-16T10:13:24.870+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between NYK and BRK.
[2025-06-16T10:13:31.778+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between CHI and HOU.
[2025-06-16T10:13:37.715+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between OKC and DAL.
[2025-06-16T10:13:44.412+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-17 between LAC and UTA.
[2025-06-16T10:13:52.089+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between DET and CHI.
[2025-06-16T10:13:58.890+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between MIA and PHI.
[2025-06-16T10:14:01.805+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between NYK and WAS.
[2025-06-16T10:14:08.595+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between TOR and IND.
[2025-06-16T10:14:15.438+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between MIL and HOU.
[2025-06-16T10:14:22.238+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between PHO and ORL.
[2025-06-16T10:14:29.031+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between SAC and ATL.
[2025-06-16T10:14:34.765+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-18 between LAC and GSW.
[2025-06-16T10:14:42.584+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between BOS and CLE.
[2025-06-16T10:14:49.367+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between BRK and CHO.
[2025-06-16T10:14:56.141+0000] {logging_mixin.py:188} INFO - Processed game on 2024-11-19 between MEM and DEN.
